"status","description","time_occurred","case_no","time_reported","location","date"
"Closed","-Credit card fraud","10/05/15 at 9:18 a.m. to 10/19/15 at 11:00 a.m.","2015-01874","1:58 p.m.","Duke University","Nov.  02, 2015"
"Closed","-Larceny","12:00 p.m. to 2:00 p.m.","2015-01875","2:13 p.m.","Divinity School","Nov.  02, 2015"
"Closed","-Larceny","1:55 p.m. to 2:00 p.m.","2015-01876","2:25 p.m.","Sanford Public Policy","Nov.  02, 2015"
"Closed","-Larceny","2:40 p.m. to 2:45 p.m.","2015-01877","3:02 p.m.","Fuqua School of Business","Nov.  02, 2015"
"Closed","-Larceny","10/25/15 at 6:00 p.m. to 7:00 p.m.","2015-01817","10:09 a.m.","Duke Hospital North","Oct.  26, 2015"
"Closed","-Larceny","3:50 p.m. to 3:55 p.m.","2015-01819","4:00 p.m.","Duke Eye Center","Oct.  26, 2015"
"Closed","-Larceny","10/04/15 at 6:30 p.m. to 8:30 p.m.","2015-01829","3:18 p.m.","Biddle Music Bldg.","Oct.  27, 2015"
"Closed","-Larceny","10/27/15 at 2:03 p.m. to 6:00 p.m.","2015-01832","9:03 a.m.","Smith Warehouse","Oct.  28, 2015"
"Closed","-B&amp;e to bldg.","10/16/15 at 3:00 p.m. to 10/28/15 at 8:30 a.m.","2015-01834","10:54 a.m.","Genome Science Research Bldg.","Oct.  28, 2015"
"Closed-SC","-Student drug violation","10/02/15 at 11:05 p.m.","Student Conduct Report","11:09 a.m.","Alspaugh Dorm","Oct.  28, 2015"
"Closed","-Larceny","10/27/15 at 11:00 p.m. to 10/28/15 at 11:45 a.m.","2015-01836","3:59 p.m.","4B Dorm","Oct.  28, 2015"
"Closed","-Larceny","1:20 p.m. to 1:55 p.m.","2015-01842","2:12 p.m.","Biological Sciences Bldg.","Oct.  29, 2015"
"Closed","-Larceny","10/27/15 at 3:00 p.m. to 10/28/15 at 5:30 p.m.","2015-01844","2:14 p.m.","Children&rsquo;s Health Center","Oct.  29, 2015"
"Arrest","-Filing false police report","Same","2015-01849","12:24 a.m.","Pegram Dorm exterior","Oct.  30, 2015"
"Closed","-Larceny","1:20 p.m. to 1:40 p.m.","2015-01850","1:42 p.m.","Duke Hospital North ED","Oct.  30, 2015"
"Closed-SC","-Underage consumption","12:27 a.m.","2015-01854","12:28 a.m.","House B","Oct.  31, 2015"
"Closed-SC","-Student alcohol violation (2 students)","10/30/15 at 11:50 p.m.","Student Conduct Report","1:05 a.m.","201 Alexander Ave.","Oct.  31, 2015"
"Closed-SC","-Underage consumption","Same","2015-01855","1:48 a.m.","Brown Dorm","Oct.  31, 2015"
"Closed-SC","-Underage consumption","Same","2015-01856","2:29 a.m.","Giles Dorm","Oct.  31, 2015"
"Closed-SC","-Underage consumption","Same","2015-01858","3:42 a.m.","Alspaugh Dorm","Oct.  31, 2015"
"Closed-SC","-Student alcohol violation","10/30/15 at 2?:30 a.m.","Student Conduct Report","4:28 p.m.","McClendon Tower","Oct.  31, 2015"
"Closed","-Larceny","10/29/15 at 2:30 p.m. to 3:00 p.m.","2015-01861","4:49 p.m.","Duke Bus","Oct.  31, 2015"
"Closed","-Larceny","6:25 p.m.","2015-01862","6:32 p.m.","Whitford Dr.","Oct.  31, 2015"
"Closed","-Injury to personal property","9:09 p.m. to 9:10 p.m.","2015-01864","9:11 p.m.","Blue Zone Lot","Oct.  31, 2015"
"Exceptionally Cleared","-2","10:01 p.m.","2015-01865","10:15 p.m.","Duke Hospital North ED","Oct.  31, 2015"
"Closed-SC","-Student alcohol violation (4 students)","10/31/15 at 11:59 p.m.","Student Conduct Report","12:55 a.m.","Blackwell Dorm","Nov. 01, 2015"
"Closed-SC","-Student alcohol violation","12:30 a.m.","Student Conduct Report","1:04 a.m.","East Residential exterior","Nov. 01, 2015"
"Exceptionally Cleared","-Larceny","Same","2015-01867","1:10 a.m.","West Bus Stop","Nov. 01, 2015"
"Closed","-Larceny","10/16/15 at 11:15 a.m. to 11:30 a.m.","2015-01763","12:07 p.m.","Bryan Center","Oct.  19, 2015"
"Closed","-Larceny","10/19/15 at 3:00 p.m. to 3:10 p.m.","2015-01771","4:00 p.m.","Smith Warehouse","Oct.  20, 2015"
"Closed","-Injury to real property","10/19/15 at 4:00 p.m.","2015-01772","4:24 p.m.","Duke Medicine Pavilion","Oct.  20, 2015"
"Closed","-Advertising fraud","3:00 p.m. to 4:00 p.m.","2015-01777","4:42 p.m.","House GG Dorm","Oct.  21, 2015"
"Exceptionally Cleared","-Weapon on campus","5:30 p.m.","2015-01778","5:35 p.m.","Duke Hospital North ED","Oct.  21, 2015"
"Closed","-Larceny","5:00 p.m. to time reported","2015-01779","5:15 p.m.","Duke Eye Center","Oct.  21, 2015"
"Closed","-Larceny","6:50 p.m. to 7:08 p.m.","2015-01780","7:44 p.m.","East Union","Oct.  21, 2015"
"Closed-SC","-Possession of marijuana","12:22 a.m.","2015-01781","12:23 a.m.","Southgate Dorm exterior","Oct.  22, 2015"
"Closed-SC","-Underage consumption","3:30 a.m.","2015-01782","3:31 a.m.","Brown Dorm","Oct.  22, 2015"
"Exceptionally Cleared","-Attempted assault on emergency medical personnel","10:58 a.m. to 10:59 a.m.","2015-01785","11:01 a.m.","Duke Hospital North","Oct.  22, 2015"
"Closed","-Larceny","11:01 a.m. to 2:30 p.m.","2015-01789","3:19 p.m.","Duke Hospital North","Oct.  22, 2015"
"Closed","-Injury to personal property","6:37 a.m. to 3:45 p.m.","2015-01791","3:48 p.m.","ED Drive Lot","Oct.  22, 2015"
"Unfounded (10/23/15)","-Larceny","3:00 p.m. to 4:00 p.m.","2015-01792","4:29 p.m.","House BB Dorm","Oct.  22, 2015"
"Closed","-Larceny","Same","2015-01793","5:25 p.m.","Smith Warehouse","Oct.  22, 2015"
"Closed-SC","-Student alcohol violation (6 students)","9:11 p.m.","Student Conduct Report","10:49 p.m.","Gilbert Addoms Dorm","Oct.  23, 2015"
"Closed-SC","-Student alcohol violation","10:30 p.m.","Student Conduct Report","11:05 p.m.","House DD","Oct.  23, 2015"
"Closed-SC","-Student alcohol violation (6 students)","10:04 p.m.","Student Conduct Report","11:27 p.m.","Gilbert Addoms Dorm","Oct.  23, 2015"
"Closed-SC","-Underage consumption","1:15 a.m. to time reported","2015-01804","1:27 a.m.","Bell Tower Dorm","Oct.  24, 2015"
"Closed-SC","-Underage consumption","Same","2015-01805","2:08 a.m.","West Bus Stop","Oct.  24, 2015"
"Closed-SC","-Underage consumption","6:51 p.m.","2015-01809","6:53 p.m.","Baldwin Auditorium exterior","Oct.  24, 2015"
"Closed-SC","-Student alcohol violation","6:00 p.m.","Student Conduct Report","7:02 p.m.","Brown Dorm","Oct.  24, 2015"
"Closed-SC","-Underage consumption","12:11 a.m.","2015-01811","12:12 a.m.","Edens Fire Lane","Oct.  25, 2015"
"Closed-SC","-Underage consumption","Same","2015-01812","1:29 a.m.","West Bus Stop","Oct.  25, 2015"
"Closed-SC","-Underage consumption","2:34 a.m.","2015-01813","2:35 a.m.","Bell Tower Dorm","Oct.  25, 2015"
"Closed","-Larceny","10/09/15 at 5:00 p.m. to 10/11/15 at 9:00 a.m.","2015-01704","10:11 a.m.","West Duke Lot","Oct.  12, 2015"
"Closed","-Forgery and uttering","10/08/15 at 9:00 a.m. to 10/12/15 at 9:00 a.m.","2015-01705","12:23 p.m.","Smith Warehouse","Oct.  12, 2015"
"Closed","-Larceny","10/10/15 at 8:00 p.m. to 10/12/15 at 12:00 p.m.","2015-01707","4:48 p.m.","Duke Hospital North","Oct.  12, 2015"
"Closed","-Larceny","10/08/15 at 8:00 p.m. to 10/11/15 at 5:00 p.m.","2015-01710","8:47 p.m.","Duke Hospital North","Oct.  12, 2015"
"Closed-SC","-Student alcohol violation (7 students)","12:15 a.m.","Student Conduct Report","1:03 a.m.","Bell Tower Dorm","Oct.  13, 2015"
"Closed","-Larceny","10/12/15 at 6:00 p.m. to 10/13/15 at 1:10 p.m.","2015-01713","1:11 p.m.","Perkins Library","Oct.  13, 2015"
"Closed","-Larceny","11:15 a.m. to 11:18 a.m.","2015-01719","1:43 p.m.","Duke Hospital North","Oct.  14, 2015"
"Closed-SC","-Student alcohol violation (2 students)","10/09/15 at 3:00 p.m.","Student Conduct Report","1:53 p.m.","Bell Tower Dorm","Oct.  14, 2015"
"Closed","-Injury to personal property","10/14/15 at 8:45 p.m. to 11:59 p.m.","2015-01721","12:17 a.m.","Lennox Baker Lot","Oct.  15, 2015"
"Closed","-B&amp;E to motor vehicle","1:00 p.m. to 3:00 p.m.","2015-01740","3:03 p.m.","Parking Garage 9","Oct.  16, 2015"
"Closed","-B&amp;E to motor vehicle","5:00 p.m. to 6:00 p.m.","2015-01742","6:25 p.m.","Al Buehler Lot","Oct.  16, 2015"
"Closed-SC","-Underage consumption","Same","2015-01743","12:15 a.m.","Belltower Dorm","Oct.  17, 2015"
"Closed","-Larceny","10/14/15 at 3:30 p.m. to 6:30 p.m.","2015-01748","10:57 a.m.","Duke Cancer Center","Oct.  17, 2015"
"Exceptionally Cleared","-2","Same","2015-01749","1:44 p.m.","Duke Hospital North","Oct.  17, 2015"
"Closed","-Larceny","1:00 p.m. to 2:30 p.m.","2015-01750","2:53 p.m.","4B Dorm","Oct.  17, 2015"
"Pending","-2","10/16/15 at3:00 a.m. to 3:01 a.m.","2015-01752","4:09 p.m.","Central Campus Residence","Oct.  17, 2015"
"Closed-SC","-Underage consumption","1:45 a.m. to time reported","2015-01753","2:00 a.m.","Friedl Bldg.","Oct.  18, 2015"
"Closed-SC","-Student alcohol violation (2 students)","2:00 a.m.","Student Conduct Report","2:47 a.m.","Bell Tower Dorm","Oct.  18, 2015"
"Closed-SC","-Underage consumption","2:42 a.m. to time reported","2015-01754","2:57 a.m.","Blackwell Dorm","Oct.  18, 2015"
"Pending","-Burglary","2:00 a.m. to 6:21 a.m.","2015-01755","6:31 a.m.","209 Anderson St.","Oct.  18, 2015"
"Pending","-Stalking","Same","2015-01758","10:54 a.m.","Duke University","Oct.  18, 2015"
"Closed","-Injury to real property","8:40 p.m. to time reported","2015-01761","9:15 p.m.","East Hall","Oct.  18, 2015"
"Closed","-Larceny","10:00 a.m. to 10:00 p.m.","2015-01762","10:18 p.m.","Duke Hospital North Valet Lot","Oct.  18, 2015"
"Closed","-Injury to real property","10/02/15 at 6:00 p.m. to 10/05/15 at 9:30 a.m.","2015-01672","9:54 a.m.","North Pavilion","Oct.  05, 2015"
"Unfounded (10/06/15)","-Larceny","09/10/15 at 2:00 p.m. to 09/26/15 at 3:00 p.m.","2015-01674","7:48 p.m.","Kilgo Quad","Oct.  05, 2015"
"Closed","-Larceny","09/28/15 at 5:00 p.m. to 10/06/15 at 2:40 p.m.","2015-01679","2:55 p.m.","Randolph Dorm exterior","Oct.  06, 2015"
"Arrest","-2","3:15 a.m.","2015-01681","3:16 a.m.","Duke Hospital North","Oct.  07, 2015"
"Closed","-Motor vehicle theft","7:45 a.m. to 5:30 p.m.","2015-01684","6:19 p.m.","Towerview Dr.","Oct.  07, 2015"
"Exceptionally Cleared","-Attempted assault on law enforcement officer","Same","2015-01686","10:00 p.m.","Duke Hospital North","Oct.  07, 2015"
"Closed-SC","-Student alcohol violation (6 students)","11:10 p.m.","Student Conduct Report","11:24 p.m.","East Residence Hall","Oct.  07, 2015"
"Closed-SC","-Student drug violation","1:03 a.m.","Student Conduct Report","1:38 a.m.","House F","Oct.  08, 2015"
"Closed-SC","-Student alcohol violation","2:10 a.m.","Student Conduct Report","2:25 a.m.","1909 Yearby St. exterior","Oct.  08, 2015"
"Closed","-Injury to personal property","10/04/15 at 5:30 p.m. to 10/07/15 at 5:30 a.m.","2015-01688","12:06 p.m.","2010 Campus Dr.","Oct.  08, 2015"
"Closed-SC","-Student alcohol violation (4 students)","10:15 p.m.","Student Conduct Report","11:02 p.m.","Blackwell Dorm","Oct.  08, 2015"
"Closed","-Larceny","6:50 p.m. to time reported","2015-01689","11:15 p.m.","Wilson Recreation Center","Oct.  08, 2015"
"Closed","-Injury to personal property","3:16 a.m. to time reported","2015-01691","3:26 a.m.","Field Hockey Stadium","Oct.  09, 2015"
"Closed-SC","-Underage consumption","Same","2015-01692","4:13 a.m.","House O","Oct.  09, 2015"
"Closed (10/13/15)","-Larceny","10:25 a.m. to 10:30 a.m.","2015-01694","2:36 p.m.","Civitan Bldg.","Oct.  09, 2015"
"Closed-SC","-Student alcohol violation","1:00 a.m.","Student Conduct Report","4:00 p.m.","Giles Dorm","Oct.  09, 2015"
"Closed-SC","-Student drug violation (3 students)","12:01 a.m.","Student Conduct Report","1:07 a.m.","House H exterior","Oct.  10, 2015"
"Closed-SC","-Underage consumption","2:04 a.m. to time reported","2015-01695","2:19 a.m.","Wilson Dorm","Oct.  10, 2015"
"Arrest","-Driving while impaired","2:40 a.m.","2015-01697","4:14 a.m.","Duke St. /Trinity Ave.","Oct.  10, 2015"
"Exceptionally Cleared","-Attempted assault on a female","Same","2015-01698","9:35 p.m.","Duke Hospital North","Oct.  10, 2015"
"Closed-SC","-Student alcohol violation","12:30 a.m.","Student Conduct Report","1:16 a.m.","Gilbert Addoms Dorm","Oct.  11, 2015"
"Exceptionally Cleared","-Weapon on campus","Same","2015-01700","3:10 p.m.","Duke Hospital North","Oct.  11, 2015"
"Arrest (11/03/15)","-Larceny","10:00 a.m. to 12:20 p.m.","2015-01622","12:22 p.m.","915 S. Lasalle St.","Sept.  28, 2015"
"Exceptionally Cleared","-Weapon on campus","Same","2015-01623","4:49 p.m.","Duke Hospital North","Sept.  28, 2015"
"Closed","-Larceny","10:00 a.m. to 4:00 p.m.","2015-01626","9:13 a.m.","Duke Hospital North","Sept.  29, 2015"
"Closed","-Injury to personal property","09/25/15 at 12:00 p.m. to 09/28/15 at 12:00 p.m.","2015-01628","1:14 p.m.","210 Anderson St.","Sept.  29, 2015"
"Closed","-Larceny","1:30 p.m. to 1:50 p.m.","2015-01630","1:53 p.m.","Perkins Library","Sept.  29, 2015"
"Exceptionally Cleared","-2","9:15 p.m. to 9:16 p.m.","2015-01632","9:23 p.m.","Randolph Dorm Exterior","Sept.  29, 2015"
"Closed","-Larceny","09/28/15 at 5:00 p.m. to 09/30/15 at 7:45 a.m.","2015-01635","8:02 a.m.","Duke South Clinics","Sept.  30, 2015"
"Exceptionally Cleared","-Larceny","1:50 a.m. to 11:55 a.m.","2015-01637","11:58 a.m.","Duke Hospital North Cafeteria","Sept.  30, 2015"
"Unfounded (10/01/15)","-Larceny","5:45 p.m. to 5:48 p.m.","2015-01642","5:50 p.m.","Duke Hospital North","Sept.  30, 2015"
"Closed-SC","-Possession of controlled substance (7 students)","11:30 p.m.","2015-01643","11:50 p.m.","Blackwell Dorm","Sept.  30, 2015"
"Closed","-Larceny","09/30/15 at 6:37 p.m. to time reported","2015-01644","3:19 a.m.","Fuqua School Lot","Oct.  01, 2015"
"Exceptionally Cleared","-Weapon on campus","Same","2015-01645","8:11 a.m.","Duke Hospital North ED","Oct.  01, 2015"
"Closed","-Larceny","09/28/15 at 11:00 a.m. to 1:30 p.m.","2015-01646","8:29 a.m.","North Pavilion","Oct.  01, 2015"
"Closed","-Larceny","10:55 a.m. to 11:00 a.m.","2015-01648","11:15 a.m.","Bryan Center","Oct.  01, 2015"
"Closed","-Credit card fraud","08/21/15 at 10:40 p.m. to 09/27/15 at 4:00 p.m.","2015-01649","1:13 p.m.","Bryan Center","Oct.  01, 2015"
"Unfounded (10/02/15)","-Larceny","09/30/15 at 9:00 p.m. to 10/01/15 at 11:30 a.m.","2015-01651","1:53 p.m.","East Union Bldg.","Oct.  01, 2015"
"Unfounded (10/13/15)","-Larceny","09/30/15 at 1:15 p.m. to 4:30 p.m.","2015-01652","4:15 p.m.","Perkins Library","Oct.  01, 2015"
"Arrest","-2","Same","2015-01654","8:07 p.m.","Duke Hospital North","Oct.  01, 2015"
"Closed","-Larceny","1:20 p.m. to 1:22 p.m.","2015-01655","8:59 p.m.","Sociology Psychology Bldg.","Oct.  01, 2015"
"Exceptionally Cleared","-Simple assault","Same","2015-01656","10:14 p.m.","Duke Hospital North ED","Oct.  01, 2015"
"Closed-SC","-Student alcohol violation","11:30 p.m.","Student Conduct Report","11:40 p.m.","East House","Oct.  01, 2015"
"Closed-SC","-Underage consumption","Same","2015-01657","1:08 a.m.","1901 Erwin Rd.","Oct.  02, 2015"
"Closed-SC","-Underage consumption","Same","2015-01658","1:42 a.m.","1312 Campus Dr.","Oct.  02, 2015"
"Closed","-Larceny","09/29/15 at 11:07 p.m. to 10/01/15 at 2:00 p.m.","2015-01659","12:12 p.m.","Duke Hospital North","Oct.  02, 2015"
"Closed","-Larceny","09/30/15 at 4:00 a.m. to 12:00 p.m.","2015-01663","6:43 p.m.","Randolph Dorm","Oct.  02, 2015"
"Arrest","-Driving while impaired","Same","2015-01664","2:14 a.m.","Yearby Ave./Anderson St.","Oct.  03, 2015"
"Closed-SC","-Underage consumption","3:39 a.m.","2015-01665","3:40 a.m.","WEL 4D Tower","Oct.  03, 2015"
"Exceptionally Cleared","-2","Same","2015-01666","2:18 p.m.","Card Gym Lot","Oct.  03, 2015"
"Exceptionally Cleared","-2","Same","2015-01667","3:02 p.m.","Card Gym Lot","Oct.  03, 2015"
"Closed-SC","-Possession of marijuana paraphernalia (4 students)","2:10 a.m.","2015-01668","2:12 a.m.","Baldwin Auditorium Exterior","Oct.  04, 2015"
"Unfounded (09/22/15)","-Larceny","09/17/15 at 9:00 a.m. to time reported","2015-01565","9:02 a.m.","Duke Hospital North","Sept.  21, 2015"
"Closed","-Larceny","1:20 p.m. to 1:30 p.m.","2015-01566","1:39 p.m.","Duke Hospital North","Sept.  21, 2015"
"Closed","-Larceny","09/17/15 at 12:00 p.m. to 09/18/15 at 4:30 p.m.","2015-01567","5:04 p.m.","Parking Garage 1","Sept.  21, 2015"
"Closed","-Larceny","4:40 p.m.","2015-01568","5:14 p.m.","Music Bldg.","Sept.  21, 2015"
"Closed","-Larceny","8:00 p.m. to 8:10 p.m.","2015-01569","8:19 p.m.","Perkins Library","Sept.  21, 2015"
"Arrest (10/15/15)","-Embezzlement","08/01/15 at 8:00 a.m. to 09/17/15 at 8:00 a.m.","2015-01570","8:34 a.m.","Duke School of Medicine","Sept.  22, 2015"
